ID,Age
1,52
28,32
30,38
31,64
33,44
53,55
55,27
58,30
60,28
63,37
64,37
65,24
66,25
69,62
70,59
72,46
75,22
76,22
77,48
78,52
80,52
81,50
82,30
83,34
84,46
86,26
87,52
89,27
91,38
92,29
94,50
95,55
96,52
97,47
98,45
99,33
100,45
101,33
102,52
106,43
107,30
108,54
109,52
110,27
111,35
114,35
115,32
118,16
119,16
120,17
121,16
123,17
125,25
133,31
134,29
135,47
137,17
138,16
139,43
140,13
141,17
142,12
143,11
144,11
145,16
147,48
151,16
152,15
153,35
154,47
155,42
156,22
157,29
158,33
159,33
160,44
161,44
165,25
167,9
168,15
169,14
170,14
172,13
173,24
174,22
175,31
177,36
178,32
181,23
182,24
183,9
184,58
185,16
186,4
189,34
190,24
191,35
193,47
196,4
197,39
198,83
205,8
206,9
207,9
210,8
214,8
215,26
216,21
217,74
218,17
219,30
220,17
227,15
230,63
231,64
233,43
234,24
237,41
238,31
239,31
241,34
242,20
243,21
247,37
248,14
250,40
251,24
252,11
253,22
254,23
255,49
256,16
257,56
258,78
259,27
261,12
263,33
264,24
265,33
266,25
267,31
268,48
269,8
270,48
271,40
273,43
279,31
286,47
289,30
290,33
291,43
292,26
293,22
294,24
295,29
298,14
299,56
302,19
304,29
305,29
307,19
308,19
309,50
310,19
314,26
315,28
316,26
317,21
318,26
323,37
325,31
329,75
331,9
334,41
337,79
341,8
365,37
368,38
369,14
373,14
375,14
376,13
379,15
380,13
382,45
383,12
384,12
385,12
386,12
389,13
391,10
394,13
405,12
408,23
415,13
417,13
419,34
424,41
425,4
428,16
430,16
433,26
434,16
435,13
436,12
437,10
438,41
441,47
446,50
447,49
449,14
450,57
451,28
453,10
456,50
459,19
460,9
462,23
463,22
468,50
471,35
476,14
478,12
483,19
487,41
489,8
492,55
494,23
495,33
496,23
497,33
499,15
500,13
502,35
503,15
504,59
505,28
506,25
507,34
508,38
509,10
512,25
513,44
515,25
516,25
517,25
518,15
520,45
522,50
523,11
524,8
525,8
527,31
528,37
529,36
530,41
531,44
534,15
535,15
537,35
538,26
539,10
541,35
542,10
543,20
544,21
545,31
546,15
547,16
548,11
549,26
552,26
554,33
556,22
557,23
559,7
560,15
564,15
568,15
570,40
572,9
574,21
575,21
576,21
578,21
579,22
581,23
583,25
584,34
586,29
589,46
591,16
592,38
593,18
594,16
596,24
597,32
598,37
599,28
600,29
601,33
602,29
603,29
604,29
606,27
607,26
613,16
615,45
617,45
619,22
620,6
622,39
625,74
638,9
639,10
641,23
643,22
647,47
648,47
649,12
650,32
651,28
653,10
654,9
655,7
656,11
657,27
658,24
660,34
662,69
663,11
664,7
669,18
671,19
676,37
677,36
685,41
686,28
688,16
690,16
695,38
704,9
710,37
714,31
715,33
716,31
723,20
727,58
731,14
734,15
736,13
738,18
740,76
742,8
746,25
748,20
749,7
750,20
751,21
752,20
753,21
755,21
756,21
757,21
758,23
759,40
760,22
761,21
762,22
764,26
765,12
767,40
768,20
769,16
770,20
771,20
772,21
773,22
774,23
775,27
776,29
777,35
778,30
779,38
780,9
781,36
782,22
783,11
784,23
789,26
790,23
791,28
794,22
795,21
796,20
797,38
798,21
799,13
800,13
801,32
802,21
803,21
804,22
807,24
812,54
815,26
816,26
820,27
824,26
825,27
827,21
828,43
829,21
830,22
832,14
833,14
836,14
838,13
840,9
841,52
842,44
843,45
844,58
846,24
848,27
851,42
852,36
853,52
854,51
855,44
856,44
857,22
858,42
859,13
860,39
861,14
862,17
863,21
868,14
871,16
872,15
873,15
875,25
876,29
879,26
884,25
892,48
905,31
914,3
915,65
916,66
918,28
919,72
920,42
921,43
922,76
923,55
924,18
927,36
929,27
930,18
931,20
932,55
934,17
935,29
936,14
937,59
938,26
946,23
949,17
958,28
959,26
962,27
963,28
964,53
965,65
966,20
967,11
968,46
969,52
970,38
971,22
972,24
974,15
975,32
977,30
978,29
979,22
980,33
981,44
982,34
983,12
984,34
988,24
989,29
992,65
993,24
995,22
997,10
998,13
999,21
1006,20
1007,20
1009,19
1010,18
1012,23
1013,20
1014,21
1016,21
1017,77
1018,28
1019,32
1021,17
1022,28
1023,46
1024,17
1026,21
1027,37
1028,20
1029,38
1030,7
1031,8
1032,7
1035,43
1038,38
1039,8
1046,22
1048,13
1049,16
1050,46
1051,45
1053,43
1055,5
1057,40
1064,8
1065,6
1067,21
1069,39
1070,40
1071,9
1073,8
1076,6
1078,10
1081,50
1082,24
1083,40
1084,41
1085,14
1087,6
1112,41
1113,11
1115,40
1116,41
1117,20
1119,12
1121,41
1122,27
1123,28
1130,28
1131,30
1132,7
1133,34
1134,52
1136,15
1137,10
1138,43
1139,36
1140,44
1141,23
1142,7
1143,42
1144,31
1145,29
1146,42
1147,13
1148,6
1152,43
1154,19
1156,19
1158,21
1160,20
1162,9
1166,42
1167,32
1168,22
1169,48
1170,64
1174,24
1175,22
1176,40
1177,42
1178,10
1179,24
1181,23
1183,42
1184,44
1185,29
1190,7
1194,35
1195,61
1196,38
